2025-04-15 12:28:53.240 INFO  [main] c.b.v.VelyoBackendApplication - Starting VelyoBackendApplication using Java 22.0.2 with PID 28532 (C:\Users\Mati\Desktop\Velyo-professional-developer\velyo_backend\target\classes started by Mati in C:\Users\Mati\Desktop\Velyo-professional-developer\velyo_backend)
2025-04-15 12:28:53.247 INFO  [main] c.b.v.VelyoBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-15 12:28:54.784 INFO  [main] o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-15 12:28:54.787 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2025-04-15 12:28:54.788 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-04-15 12:28:54.856 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2025-04-15 12:28:59.608 INFO  [main] o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-15 12:28:59.643 INFO  [main] c.b.v.VelyoBackendApplication - Started VelyoBackendApplication in 6.754 seconds (process running for 7.51)
2025-04-15 13:43:43.759 INFO  [main] c.b.v.VelyoBackendApplication - Starting VelyoBackendApplication using Java 22.0.2 with PID 15472 (C:\Users\Mati\Desktop\Velyo-professional-developer\velyo_backend\target\classes started by Mati in C:\Users\Mati\Desktop\Velyo-professional-developer\velyo_backend)
2025-04-15 13:43:43.769 INFO  [main] c.b.v.VelyoBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-15 13:43:45.640 INFO  [main] o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-15 13:43:45.644 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2025-04-15 13:43:45.645 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-04-15 13:43:45.730 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2025-04-15 13:43:51.207 INFO  [main] o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-15 13:43:51.249 INFO  [main] c.b.v.VelyoBackendApplication - Started VelyoBackendApplication in 7.91 seconds (process running for 8.849)
2025-04-15 13:48:37.621 INFO  [main] c.b.v.VelyoBackendApplication - Starting VelyoBackendApplication using Java 22.0.2 with PID 29552 (C:\Users\Mati\Desktop\Velyo-professional-developer\velyo_backend\target\classes started by Mati in C:\Users\Mati\Desktop\Velyo-professional-developer\velyo_backend)
2025-04-15 13:48:37.629 INFO  [main] c.b.v.VelyoBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-15 13:48:39.233 INFO  [main] o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-15 13:48:39.235 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2025-04-15 13:48:39.236 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-04-15 13:48:39.308 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2025-04-15 13:48:45.205 INFO  [main] o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-15 13:48:45.242 INFO  [main] c.b.v.VelyoBackendApplication - Started VelyoBackendApplication in 7.982 seconds (process running for 8.745)
2025-04-15 13:50:17.256 INFO  [main] c.b.v.VelyoBackendApplication - Starting VelyoBackendApplication using Java 22.0.2 with PID 22900 (C:\Users\Mati\Desktop\Velyo-professional-developer\velyo_backend\target\classes started by Mati in C:\Users\Mati\Desktop\Velyo-professional-developer\velyo_backend)
2025-04-15 13:50:17.263 INFO  [main] c.b.v.VelyoBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-15 13:50:18.845 INFO  [main] o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-15 13:50:18.848 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2025-04-15 13:50:18.848 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-04-15 13:50:18.909 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2025-04-15 13:50:24.887 INFO  [main] o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-15 13:50:24.913 INFO  [main] c.b.v.VelyoBackendApplication - Started VelyoBackendApplication in 8.024 seconds (process running for 8.788)
